date,value,month_no
1991-07-01,3.5265910000000003,7
1991-08-01,3.180891,8
1991-09-01,3.252221,9
1991-10-01,3.6110029999999997,10
1991-11-01,3.565869,11
1991-12-01,4.3063709999999995,12
1992-01-01,5.088335,1
1992-02-01,2.81452,2
1992-03-01,2.985811,3
1992-04-01,3.20478,4
1992-05-01,3.1275779999999997,5
1992-06-01,3.270523,6
1992-07-01,3.73785082,7
1992-08-01,3.55877609,8
1992-09-01,3.77720173,9
1992-10-01,3.92449042,10
1992-11-01,4.38653092,11
1992-12-01,5.81054917,12
1993-01-01,6.19206769,1
1993-02-01,3.45085699,2
1993-03-01,3.77230686,3
1993-04-01,3.7343029000000003,4
1993-05-01,3.90539892,5
1993-06-01,4.04968714,6
1993-07-01,4.31556552,7
1993-08-01,4.56218455,8
1993-09-01,4.60866203,9
1993-10-01,4.66785129,10
1993-11-01,5.09384145,11
1993-12-01,7.1799622,12
1994-01-01,,1
1994-02-01,3.84127758,2
1994-03-01,4.39407557,3
1994-04-01,4.07534073,4
1994-05-01,4.5406449,5
1994-06-01,4.64561508,6
1994-07-01,4.75260653,7
1994-08-01,5.35060467,8
1994-09-01,5.20445484,9
1994-10-01,5.3016513,10
1994-11-01,5.77374216,11
1994-12-01,6.20459348,12
1995-01-01,6.74948382,1
1995-02-01,4.21606735,2
1995-03-01,4.94934946,3
1995-04-01,4.8230449,4
1995-05-01,5.19475419,5
1995-06-01,5.17078711,6
1995-07-01,5.25674157,7
1995-08-01,5.85527729,8
1995-09-01,5.49072901,9
1995-10-01,6.11529323,10
1995-11-01,6.08847284,11
1995-12-01,7.41659792,12
1996-01-01,8.32945212,1
1996-02-01,5.06979585,2
1996-03-01,5.26255667,3
1996-04-01,5.59712628,4
1996-05-01,6.110296,5
1996-06-01,5.68916084,6
1996-07-01,6.48684933,7
1996-08-01,6.30056933,8
1996-09-01,6.46747574,9
1996-10-01,6.82862939,10
1996-11-01,6.64907826,11
1996-12-01,8.60693721,12
1997-01-01,8.52447101,1
1997-02-01,5.27791837,2
1997-03-01,5.71430345,3
1997-04-01,6.21452908,4
1997-05-01,6.41192919,5
1997-06-01,6.66771564,6
1997-07-01,7.05083102,7
1997-08-01,6.70491861,8
1997-09-01,7.25098761,9
1997-10-01,7.81973318,10
1997-11-01,7.39810106,11
1997-12-01,10.09623339,12
1998-01-01,8.79851303,1
1998-02-01,5.91826076,2
1998-03-01,,3
1998-04-01,6.67573561,4
1998-05-01,7.06420058,5
1998-06-01,7.38338118,6
1998-07-01,7.81349587,7
1998-08-01,7.43189221,8
1998-09-01,8.27511722,9
1998-10-01,8.26044138,10
1998-11-01,8.59615575,11
1998-12-01,10.55893902,12
1999-01-01,10.3914156,1
1999-02-01,6.42153456,2
1999-03-01,8.06261937,3
1999-04-01,7.2977391,4
1999-05-01,7.93691594,5
1999-06-01,8.16532298,6
1999-07-01,8.71742046,7
1999-08-01,9.07096378,8
1999-09-01,9.17711337,9
1999-10-01,9.25188674,10
1999-11-01,9.93313643,11
1999-12-01,11.53297428,12
2000-01-01,12.51146235,1
2000-02-01,7.45719853,2
2000-03-01,8.59119084,3
2000-04-01,8.47400037,4
2000-05-01,9.3868026,5
2000-06-01,9.56039945,6
2000-07-01,10.8342948,7
2000-08-01,10.64375083,8
2000-09-01,9.90816186,9
2000-10-01,11.7100413,10
2000-11-01,11.34015074,11
2000-12-01,12.07913184,12
2001-01-01,14.49758109,1
2001-02-01,8.04927477,2
2001-03-01,10.31289116,3
2001-04-01,9.75335821,4
2001-05-01,10.85038183,5
2001-06-01,9.96171916,6
2001-07-01,11.44360144,7
2001-08-01,11.65923889,8
2001-09-01,10.64705979,9
2001-10-01,12.65213444,10
2001-11-01,13.67446631,11
2001-12-01,12.96573509,12
2002-01-01,16.30026927,1
2002-02-01,9.05348536,2
2002-03-01,10.00244879,3
2002-04-01,10.78875007,4
2002-05-01,12.10670515,5
2002-06-01,10.95410107,6
2002-07-01,12.84456587,7
2002-08-01,12.19649985,8
2002-09-01,12.85474787,9
2002-10-01,13.54200436,10
2002-11-01,13.28764,11
2002-12-01,15.13491784,12
2003-01-01,16.82834968,1
2003-02-01,9.80021461,2
2003-03-01,10.81699371,3
2003-04-01,10.65422256,4
2003-05-01,12.51232269,5
2003-06-01,12.16120969,6
2003-07-01,12.9980462,7
2003-08-01,12.51727568,8
2003-09-01,13.26865761,9
2003-10-01,14.73362169,10
2003-11-01,13.66938174,11
2003-12-01,16.50396561,12
2004-01-01,18.00376795,1
2004-02-01,11.93802987,2
2004-03-01,12.997900099999999,3
2004-04-01,12.88264507,4
2004-05-01,13.94344681,5
2004-06-01,13.989472199999998,6
2004-07-01,15.33909742,7
2004-08-01,15.37076394,8
2004-09-01,16.142004999999994,9
2004-10-01,16.685754,10
2004-11-01,17.636728,11
2004-12-01,18.869325,12
2005-01-01,20.778723,1
2005-02-01,12.154552,2
2005-03-01,13.402392,3
2005-04-01,14.459239000000002,4
2005-05-01,14.795101999999998,5
2005-06-01,15.705248000000001,6
2005-07-01,15.82955,7
2005-08-01,17.554701,8
2005-09-01,18.100864,9
2005-10-01,17.496668,10
2005-11-01,19.347265,11
2005-12-01,20.031291,12
2006-01-01,23.486694,1
2006-02-01,12.536987,2
2006-03-01,15.467018,3
2006-04-01,14.233539000000002,4
2006-05-01,17.783058,5
2006-06-01,16.291601999999994,6
2006-07-01,16.980282,7
2006-08-01,18.612189,8
2006-09-01,16.623343,9
2006-10-01,21.430241,10
2006-11-01,23.575517,11
2006-12-01,23.334206,12
2007-01-01,28.038383000000003,1
2007-02-01,16.763869,2
2007-03-01,19.792754000000002,3
2007-04-01,16.427305,4
2007-05-01,21.000742000000002,5
2007-06-01,20.681002,6
2007-07-01,21.834889999999998,7
2007-08-01,23.93020353,8
2007-09-01,22.93035694,9
2007-10-01,23.26333992,10
2007-11-01,25.25003022,11
2007-12-01,25.80609,12
2008-01-01,29.665356,1
2008-02-01,21.654285,2
2008-03-01,18.264945,3
2008-04-01,23.107677,4
2008-05-01,22.91251,5
2008-06-01,19.431739999999998,6
